county_id,county_desc,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
51,JOHNSTON,Democrat,172627,45870,0.16769103326826046,0.44689339437540876,0.6763310490247759,0.40340091563113145,0.323668950975224,0.5965990843688685,49.85746725599124,53.4374536734249,0.35628841374755976,0.29470289993423704,0.005515602791743567,0.15282462504507946,0.46861409872929
51,JOHNSTON,Republican,172627,63593,0.16769103326826046,0.014262576069693205,0.6763310490247759,0.8907426918057019,0.323668950975224,0.10925730819429812,49.85746725599124,52.27248282043621,0.35628841374755976,0.27526910338301397,0.0024692453276555478,0.11732611781405251,0.4033741424177904
52,JONES,Democrat,8450,3186,0.29633136094674556,0.6619585687382298,0.6137278106508876,0.28468298807281855,0.38627218934911245,0.7153170119271814,55.69715976331361,61.9526051475204,0.3074556213017752,0.3386683738796415,0.002880921895006402,0.07074263764404609,0.4295774647887324
52,JONES,Republican,8450,2615,0.29633136094674556,0.017208413001912046,0.6137278106508876,0.901338432122371,0.38627218934911245,0.09866156787762906,55.69715976331361,53.965965583174,0.3074556213017752,0.3906330416881112,0.006176016469377252,0.1363870303654143,0.5383427689140504
53,LEE,Democrat,45280,14934,0.18904593639575973,0.4318334002946297,0.6467314487632508,0.4314985938127762,0.3532685512367491,0.5685014061872238,52.29030477031802,57.33795366278291,0.36117491166077736,0.22003642987249544,0.004250151791135397,0.17802064359441408,0.41821493624772316
53,LEE,Republican,45280,13635,0.18904593639575973,0.015474880821415475,0.6467314487632508,0.8823615694902823,0.3532685512367491,0.11763843050971765,52.29030477031802,54.9991199119912,0.36117491166077736,0.20840472540355306,0.0036071782847867254,0.1469023356479394,0.36468572459193793
54,LENOIR,Democrat,44150,19860,0.3906681766704417,0.7155085599194361,0.49827859569648925,0.21581067472306142,0.5017214043035108,0.7841893252769385,54.15075877689694,58.46299093655589,0.2772593431483579,0.21153014912470283,0.0013507672357899287,0.13745407391398315,0.3638966933218068
54,LENOIR,Republican,44150,11801,0.3906681766704417,0.03686128294212355,0.49827859569648925,0.8912803999661045,0.5017214043035108,0.10871960003389543,54.15075877689694,54.38284891110923,0.2772593431483579,0.31250648676699533,0.0031136481577581734,0.19823559937727037,0.5201868188894655
55,LINCOLN,Democrat,75081,13820,0.054514457718996816,0.21316931982633863,0.8457798910509983,0.6776410998552822,0.15422010894900173,0.3223589001447178,53.554321332960406,59.10600578871201,0.33848776654546425,0.3196966800484292,0.0041419741285923664,0.16778181354744154,0.49812018097240807
55,LINCOLN,Republican,75081,35317,0.054514457718996816,0.005493105303394965,0.8457798910509983,0.924257439759889,0.15422010894900173,0.075742560240111,53.554321332960406,54.436588611716736,0.33848776654546425,0.28260994373636467,0.003358594557354461,0.14806521988747273,0.43825353083017565
56,MACON,Democrat,33117,6238,0.0067337017241899935,0.015870471304905417,0.9222151764954555,0.9143956396280859,0.07778482350454449,0.08560436037191407,58.88495334722348,65.03590894517474,0.36368028504997435,0.33124869710235566,0.013967062747550553,0.26401917865332497,0.6154888471961643
56,MACON,Republican,33117,14616,0.0067337017241899935,0.0015736179529282977,0.9222151764954555,0.9464969896004378,0.07778482350454449,0.05350301039956212,58.88495334722348,60.57929666119321,0.36368028504997435,0.28858230727389605,0.008257924145774613,0.24655095683133066,0.5497206151411759
57,MADISON,Democrat,19999,6216,0.010300515025751288,0.016087516087516088,0.8990949547477374,0.917953667953668,0.10090504525226261,0.08204633204633205,53.945597279863996,60.37467824967825,0.40472023601180057,0.368757824454027,0.008346084295451384,0.3088051189317012,0.6936987063569342
57,MADISON,Republican,19999,5520,0.010300515025751288,0.0018115942028985507,0.8990949547477374,0.9322463768115942,0.10090504525226261,0.0677536231884058,53.945597279863996,54.40036231884058,0.40472023601180057,0.3130434782608696,0.004968944099378882,0.17834960070984915,0.49991126885536824
58,MARTIN,Democrat,18835,9491,0.4023360764534112,0.6809609103361078,0.5291744093443058,0.2831103150352966,0.4708255906556942,0.7168896849647034,55.632545792407754,60.97439679696554,0.2841518449694717,0.3207920792079208,9.900990099009901e-4,0.08613861386138613,0.4158415841584158
58,MARTIN,Republican,18835,3932,0.4023360764534112,0.04959308240081384,0.5291744093443058,0.8992878942014242,0.4708255906556942,0.10071210579857579,55.632545792407754,52.54984740590031,0.2841518449694717,0.36363636363636365,0,0.06611570247933884,0.4297520661157025
59,MCDOWELL,Democrat,34160,6847,0.027312646370023418,0.09507813641010662,0.9100702576112412,0.8428508835986563,0.08992974238875878,0.15714911640134366,54.77125292740047,61.970936176427635,0.35916276346604215,0.30803443328550933,0.0037302725968436155,0.17589670014347203,0.4899569583931133
59,MCDOWELL,Republican,34160,14808,0.027312646370023418,0.0031064289573203676,0.9100702576112412,0.9504321988114532,0.08992974238875878,0.04956780118854673,54.77125292740047,55.445367368989736,0.35916276346604215,0.34568881828611775,0.0026476039184537992,0.24093195657929573,0.5925337569499602
60,MECKLENBURG,Democrat,894445,367776,0.30250825931164016,0.5424687853476029,0.5215837754138041,0.31385680414165146,0.4784162245861959,0.6861431958583486,47.83381650073509,48.915568171930744,0.37597504597823234,0.32079561511109733,0.006263683368787168,0.17061317019393507,0.5044827104327438
60,MECKLENBURG,Republican,894445,182529,0.30250825931164016,0.035342329164132824,0.5215837754138041,0.8577431531427883,0.4784162245861959,0.14225684685721174,47.83381650073509,53.239205824827835,0.37597504597823234,0.1569418215047213,0.004099908620164483,0.07346329576606762,0.23616204690831558
61,MITCHELL,Democrat,13177,1296,0.0035668209759429307,0.008487654320987654,0.9037717234575396,0.8765432098765432,0.09622827654246034,0.12345679012345678,57.220991120892464,59.18055555555556,0.3129695681869925,0.48058252427184467,0.020226537216828478,0.35275080906148865,0.8656957928802589
61,MITCHELL,Republican,13177,7701,0.0035668209759429307,9.089728606674458e-4,0.9037717234575396,0.9237761329697441,0.09622827654246034,0.07622386703025581,57.220991120892464,59.20711595896637,0.3129695681869925,0.3639829887080217,0.009532189470596862,0.30459011585276435,0.6911570611526617
62,MONTGOMERY,Democrat,19754,6269,0.1814822314467956,0.4656245015153932,0.6991495393338059,0.4375498484606795,0.3008504606661942,0.5624501515393204,55.17965981573352,59.844153772531506,0.3157335223245925,0.30377927863198734,0.0044546630262968815,0.09426641758873401,0.4173013363989079
62,MONTGOMERY,Republican,19754,7142,0.1814822314467956,0.01358162979557547,0.6991495393338059,0.9021282553906469,0.3008504606661942,0.09787174460935312,55.17965981573352,56.919350322038646,0.3157335223245925,0.34481540363893304,0.006182653241476771,0.1418477300830242,0.5004416180886769
63,MOORE,Democrat,90042,18662,0.09970902467737278,0.36255492444539705,0.8070344950134382,0.5467795520308648,0.19296550498656181,0.45322044796913513,56.3424735123609,59.11301039545601,0.36871682103907066,0.42916925860996435,0.011140643555957699,0.18141718034270202,0.6434994062093536
63,MOORE,Republican,90042,37411,0.09970902467737278,0.007430969500948919,0.8070344950134382,0.9243003394723477,0.19296550498656181,0.0756996605276523,56.3424735123609,58.68097618347545,0.36871682103907066,0.3571809219291234,0.006361577404742872,0.1486810551558753,0.5233812949640287
64,NASH,Democrat,78384,33991,0.3878725250051031,0.7164543555647083,0.5080756276791182,0.20873172310317437,0.4919243723208818,0.7912682768968257,53.12112165748112,55.94560324791857,0.2774673402735252,0.23477804439112177,0.0025244951009798042,0.14304639072185563,0.3920215956808638
64,NASH,Republican,78384,22216,0.3878725250051031,0.03065358300324091,0.5080756276791182,0.9074090745408715,0.4919243723208818,0.09259092545912856,53.12112165748112,55.915781418797266,0.2774673402735252,0.2850192401256137,0.0027422707771241543,0.17647839356008668,0.4717148038391791
65,NEW HANOVER,Democrat,210621,60525,0.10830354048266792,0.2715737298636927,0.7644821741421796,0.6172325485336638,0.23551782585782044,0.38276745146633623,51.62401185067016,53.957406030565885,0.4052824742072253,0.37801648340007205,0.007584906459882625,0.26172164664505604,0.672281192398144
65,NEW HANOVER,Republican,210621,62858,0.10830354048266792,0.009815775239428554,0.7644821741421796,0.8981195710967578,0.23551782585782044,0.10188042890324223,51.62401185067016,56.32853415635241,0.4052824742072253,0.2257184686039749,0.0030684074363756695,0.12586486974309608,0.36419790225217097
66,NORTHAMPTON,Democrat,15240,9530,0.5506561679790026,0.7646379853095487,0.3948818897637795,0.20461699895068206,0.6051181102362204,0.7953830010493179,58.036023622047246,60.73672612801679,0.2505249343832021,0.31839908682314333,0.0017122066062638225,0.19083969465648856,0.5415566811728615
66,NORTHAMPTON,Republican,15240,1831,0.5506561679790026,0.08574549426542873,0.3948818897637795,0.8585472419442928,0.6051181102362204,0.14145275805570726,58.036023622047246,56.60567995630803,0.2505249343832021,0.3270065075921909,5.422993492407809e-4,0.0992407809110629,0.4316702819956616
67,ONSLOW,Democrat,144456,28921,0.15264855734618155,0.46530202966702394,0.6806986210333943,0.38470315687562673,0.31930137896660576,0.6152968431243733,47.511387550534415,52.36945472148266,0.4054106440715512,0.2462028749660971,0.004102251152698671,0.10709926769731488,0.37862761052346083
67,ONSLOW,Republican,144456,54775,0.15264855734618155,0.020356001825650387,0.6806986210333943,0.8584755819260611,0.31930137896660576,0.14152441807393884,47.511387550534415,49.793993610223644,0.4054106440715512,0.256770730204827,0.0030361032275097355,0.09840934591776121,0.37044859525223856
68,ORANGE,Democrat,133684,62101,0.10774662637263996,0.17310510297740778,0.6862825768229557,0.6644337450282605,0.3137174231770444,0.3355662549717396,47.52844020226804,49.977439976811965,0.4081864695849915,0.4211876965337767,0.01632510451681305,0.4070312405874628,0.862387200154215
68,ORANGE,Republican,133684,16217,0.10774662637263996,0.014244311524942961,0.6862825768229557,0.87056792255041,0.3137174231770444,0.12943207744958993,47.52844020226804,52.841832644755506,0.4081864695849915,0.1977329974811083,0.0030400416920003475,0.09949622166246852,0.3063059150525493
69,PAMLICO,Democrat,11930,3513,0.1492875104777871,0.43296327924850553,0.7730930427493713,0.5052661542840877,0.22690695725062868,0.49473384571591233,59.8639564124057,65.19555935098207,0.309639564124057,0.395458440445587,0.022279348757497857,0.19708654670094258,0.6345329905741217
69,PAMLICO,Republican,11930,4643,0.1492875104777871,0.010122765453370666,0.7730930427493713,0.9250484600473832,0.22690695725062868,0.07495153995261684,59.8639564124057,59.23885418910187,0.309639564124057,0.3632610939112487,0.004471964224286206,0.20536635706914344,0.5761953904368765
70,PASQUOTANK,Democrat,34190,12846,0.3306814858145657,0.6697026311692356,0.5666861655454811,0.2623384711194146,0.4333138344545189,0.7376615288805854,51.90874524714829,55.45835279464425,0.3649897630886224,0.22657079432487212,0.002461152398417141,0.13261268217353536,0.371296206929833
70,PASQUOTANK,Republican,34190,8583,0.3306814858145657,0.03506932308050798,0.5666861655454811,0.8874519398811604,0.4333138344545189,0.11254806011883957,51.90874524714829,53.46359081906093,0.3649897630886224,0.19119465743259956,0.0045758100420479845,0.13541924313628495,0.33910462527825874
71,PENDER,Democrat,55807,12971,0.12272653968140197,0.4213244930999923,0.7689357965846578,0.48616143705188497,0.23106420341534217,0.513838562948115,52.84045012274446,58.15226273995837,0.3615317074918917,0.2970832168483832,0.006895909048550928,0.18274158978659957,0.49669182741589785
