state,jurisdiction,precinct_id,total_turnout_2022,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0047 AZTEC SPRINGS,1247,04013_0047 AZTEC SPRINGS,MARICOPA,4664,1442,1182,1756,1634,1740,1206,2226,2146,3274,0.435925048,0.564074952,0.148808246,0.201417221,0.252308353,0.39746618,0.807246998,0.017152659,0.144939966,0.030660377,0.329223744,0.269863014,0.400913242,0.678867799,0.321132201,0.542137656,0.265109342
AZ,MARICOPA,0048 BALBOA,643,04013_0048 BALBOA,MARICOPA,3314,1078,1242,786,1273,1306,927,1653,1644,2334,0.522333637,0.477666363,0.248717175,0.294597042,0.243284033,0.213401751,0.74019312,0.022933011,0.164755582,0.072118286,0.347070187,0.399871217,0.253058596,0.48401825,0.51598175,0.343723013,0.396470107
AZ,MARICOPA,0049 BALSZ,136,04013_0049 BALSZ,MARICOPA,3527,1519,1425,421,595,633,329,1042,994,1847,0.489355581,0.510644419,0.338814857,0.360929969,0.209242983,0.091012192,0.466685568,0.096115679,0.364048767,0.073149986,0.45141159,0.423476969,0.125111441,0.628319341,0.371680659,0.281983736,0.184701832
AZ,MARICOPA,0050 BANFF,847,04013_0050 BANFF,MARICOPA,4006,1419,990,1419,1119,1201,723,1687,1563,2709,0.482376636,0.517623364,0.198801199,0.263236763,0.336163836,0.201798202,0.724912631,0.024213679,0.18896655,0.061907139,0.370689655,0.25862069,0.370689655,0.72282064,0.27717936,0.511165749,0.213746882
AZ,MARICOPA,0051 BARNES,589,04013_0051 BARNES,MARICOPA,2005,533,658,695,1042,1095,865,1275,1261,1602,0.4665,0.5335,0.123253493,0.194610778,0.28243513,0.399700599,0.876309227,0.008478803,0.06882793,0.04638404,0.282608696,0.348886532,0.368504772,0.344392588,0.655607412,0.298881178,0.577428049
AZ,MARICOPA,0052 BARNEY,745,04013_0052 BARNEY,MARICOPA,3054,977,625,1316,1006,1063,645,1382,1294,2126,0.46589404,0.53410596,0.214870619,0.304618408,0.351130036,0.129380937,0.770792403,0.021283563,0.126391618,0.081532417,0.334818369,0.2141878,0.450993831,0.582267475,0.417732525,0.441032737,0.329759666
AZ,MARICOPA,0053 BAYSHORE,1761,04013_0053 BAYSHORE,MARICOPA,5731,1684,1601,2154,2413,2526,1694,3149,3120,4400,0.480779358,0.519220642,0.158813264,0.235602094,0.329668412,0.27591623,0.770720642,0.00924795,0.115163148,0.10486826,0.309615738,0.29435558,0.396028682,0.432041618,0.567958382,0.327610162,0.44311048
AZ,MARICOPA,0054 BEARDSLEY,1647,04013_0054 BEARDSLEY,MARICOPA,4500,1126,1026,2099,2062,2162,1565,2653,2604,3589,0.491392801,0.508607199,0.128222222,0.167777778,0.335555556,0.368444444,0.794666667,0.009555556,0.079111111,0.116666667,0.264878852,0.241354975,0.493766173,0.441291195,0.558708805,0.34884331,0.445823357
AZ,MARICOPA,0055 BERRIDGE,182,04013_0055 BERRIDGE,MARICOPA,1181,349,517,247,484,523,386,654,636,871,0.473594549,0.526405451,0.151952462,0.250424448,0.270797963,0.326825127,0.649449619,0.022861981,0.270110076,0.057578323,0.313566936,0.464510332,0.221922731,0.694252819,0.305747181,0.430750231,0.218699388
AZ,MARICOPA,0056 BERYL,457,04013_0056 BERYL,MARICOPA,1816,545,570,604,780,813,569,982,927,1360,0.468108708,0.531891292,0.166942149,0.227548209,0.309641873,0.295867769,0.658039648,0.008810573,0.248348018,0.084801762,0.317044793,0.331588133,0.351367074,0.661571363,0.338428637,0.421080286,0.236959362
AZ,MARICOPA,0057 BETHANY,657,04013_0057 BETHANY,MARICOPA,1601,375,517,617,869,911,743,1063,1053,1310,0.4875,0.5125,0.109375,0.173125,0.324375,0.393125,0.876951905,0.002498438,0.063085572,0.057464085,0.248508946,0.342611001,0.408880053,0.266101021,0.733898979,0.227962698,0.648989207
AZ,MARICOPA,0058 BETHANY PARK,74,04013_0058 BETHANY PARK,MARICOPA,1085,467,411,156,232,238,131,358,295,567,0.461251167,0.538748833,0.393548387,0.240552995,0.232258065,0.133640553,0.268202765,0.028571429,0.669124424,0.034101382,0.451644101,0.397485493,0.150870406,0.815439076,0.184560924,0.211206309,0.056996456
AZ,MARICOPA,0059 BETHUNE,53,04013_0059 BETHUNE,MARICOPA,1832,766,812,188,404,416,206,594,464,870,0.46124031,0.53875969,0.308951965,0.268558952,0.246724891,0.175764192,0.262697979,0.036592026,0.685963954,0.01474604,0.433748584,0.459796149,0.106455266,0.828480337,0.171519663,0.211245241,0.051452738
AZ,MARICOPA,0060 BILTMORE,973,04013_0060 BILTMORE,MARICOPA,2457,562,782,970,1347,1405,1125,1624,1636,2081,0.487745098,0.512254902,0.098534202,0.179153094,0.30781759,0.414495114,0.875457875,0.005291005,0.060643061,0.058608059,0.24286949,0.337942956,0.419187554,0.213891247,0.786108753,0.181734359,0.693723516
AZ,MARICOPA,0061 BISCUIT FLAT,402,04013_0061 BISCUIT FLAT,MARICOPA,900,239,136,476,340,356,265,478,516,677,0.500557414,0.499442586,0.094444444,0.107777778,0.36,0.437777778,0.916481069,0.003340757,0.055679287,0.024498886,0.280846063,0.159811986,0.559341951,0.601529735,0.398470265,0.549551549,0.36692952
AZ,MARICOPA,0062 BISHOP,313,04013_0062 BISHOP,MARICOPA,1372,481,406,403,441,468,305,627,609,949,0.530014641,0.469985359,0.16909621,0.260932945,0.333819242,0.236151603,0.85442575,0.007315289,0.079005121,0.059253841,0.372868217,0.314728682,0.312403101,0.333068326,0.666931674,0.281964954,0.572460796
AZ,MARICOPA,0063 BLACK CANYON,401,04013_0063 BLACK CANYON,MARICOPA,2181,785,688,589,633,671,478,886,821,1324,0.435648148,0.564351852,0.247474747,0.259412305,0.215794307,0.277318641,0.618173474,0.048187242,0.289123451,0.044515833,0.380698351,0.333656644,0.285645005,0.756707799,0.243292201,0.459765451,0.158408023
AZ,MARICOPA,0064 BLACK GOLD,1268,04013_0064 BLACK GOLD,MARICOPA,2422,515,558,1213,983,1007,967,1345,1509,1908,0.442466887,0.557533113,0.006614303,0.011575031,0.129805705,0.852004961,0.941370768,8.25764e-4,0.032204789,0.025598679,0.225284339,0.244094488,0.530621172,0.495365245,0.504634755,0.464915584,0.476455184
AZ,MARICOPA,0065 BLACKHAWK,629,04013_0065 BLACKHAWK,MARICOPA,3394,1175,861,1162,997,1034,632,1555,1405,2319,0.466111772,0.533888228,0.207719505,0.313789039,0.298762522,0.179728933,0.753905099,0.013262599,0.147656941,0.085175361,0.367417136,0.269230769,0.363352095,0.582635153,0.417364847,0.434940817,0.318964282
AZ,MARICOPA,0066 BLOOM,543,04013_0066 BLOOM,MARICOPA,2305,821,528,844,682,738,467,1008,930,1569,0.470998692,0.529001308,0.177517361,0.211805556,0.312934028,0.297743056,0.774403471,0.004772234,0.182646421,0.038177874,0.374373005,0.240766074,0.384860921,0.699947333,0.300052667,0.533200925,0.241202546
