state,race_id,race_name,party,cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo
NC,2572,President-Republican,Republican,3,LINCOLN,0,0,2024-03-01T20:11:28Z,11940.23358988634,11940.233589886338,11940.233589886338,3441.440319888976,3495.6094144993376,3669.5726656147867,9075.21088804573,8774.150699822008,9075.21088804573
NC,2572,President-Republican,Republican,3,MECKLENBURG,0,0,2024-03-01T20:11:28Z,38824.148013362785,50451.130118404086,50324.30707542499,16167.539784386578,12992.155108608356,12949.869363740458,37274.22806837651,38750.987033175865,37274.22806837651
NC,2572,President-Republican,Republican,3,UNION,0,0,2024-03-01T20:11:28Z,22028.82281924704,22000.778081025725,21997.390607092842,8530.71401394501,7342.951159086922,6775.663252224779,16160.635062635727,17627.3215576227,16160.635062635727
NC,2572,President-Republican,Republican,4,ALAMANCE,0,0,2024-03-01T20:11:28Z,13344.763415397238,13260.458957313065,12914.789895022803,3263.684448105947,3750.2566922669644,3536.775001062417,9554.25244553115,9973.858901306774,9554.25244553115
NC,2572,President-Republican,Republican,4,ANSON,0,0,2024-03-01T20:11:28Z,1336.9492351354393,1333.9432098088248,1332.8457954087007,388.68493525940323,214.82425523342616,216.98409742231897,705.2634240730165,578.34495274894,705.2634240730165
NC,2572,President-Republican,Republican,4,CASWELL,0,0,2024-03-01T20:11:28Z,1813.4685120619329,1797.7900111110916,1793.2671898344697,364.550608495876,406.4540903684958,407.8169912696424,1253.9975756290169,1123.0925790519748,1253.9975756290169
NC,2572,President-Republican,Republican,4,DAVIDSON,0,0,2024-03-01T20:11:28Z,20044.58849996635,20044.588499966347,20044.588499966347,5850.558483844961,6163.283932343735,6232.591774846585,15752.62092330858,15463.2755055572,15752.62092330858
NC,2572,President-Republican,Republican,4,DAVIE,0,0,2024-03-01T20:11:28Z,6420.395758934441,6420.395758934441,6420.395758934441,1805.5895189059058,1891.9972785495722,1973.5902216825082,4926.02737209298,4776.881315498003,4926.02737209298
NC,2572,President-Republican,Republican,4,FORSYTH,0,0,2024-03-01T20:11:28Z,24574.20983717066,24946.026551761337,24805.517477639783,7178.1202282666445,7053.545105038091,6786.457055805473,19005.2530379352,19657.043960284132,19005.2530379352
NC,2572,President-Republican,Republican,4,GUILFORD,0,0,2024-03-01T20:11:28Z,29431.079225050333,29560.243673865716,29427.90381964498,8747.540081912284,7570.90678631961,7428.067147995301,22456.66529261012,23113.84812439171,22456.66529261012
NC,2572,President-Republican,Republican,4,HOKE,0,0,2024-03-01T20:11:28Z,2033.0837832213426,2033.0837832213424,2033.083783221342,866.6074374873369,474.7581788416296,487.4349159669891,1471.0905591644319,1279.6452026617924,1471.0905591644319
NC,2572,President-Republican,Republican,4,LEE,0,0,2024-03-01T20:11:28Z,3918.0140147465336,3918.0140147465336,3918.0140147465327,1260.0914739237542,1214.115622654217,1123.8891218854526,2918.7170722912847,3092.226921608464,2918.7170722912847
NC,2572,President-Republican,Republican,4,MONTGOMERY,0,0,2024-03-01T20:11:28Z,2873.4374476541816,2279.321451219986,2282.6097303781453,485.94161515019505,652.0649146014206,642.9469941731389,1727.196683201655,1690.3926100882466,1727.196683201655
NC,2572,President-Republican,Republican,4,MOORE,0,0,2024-03-01T20:11:28Z,14258.564255913474,11433.574156840165,11626.348640243434,2435.8224920651214,3640.294195235843,3779.6981877064463,9721.291269047615,9285.836059233898,9721.291269047615
NC,2572,President-Republican,Republican,4,RANDOLPH,0,0,2024-03-01T20:11:28Z,16764.3867353342,16741.947701944173,16757.4443048,5824.302227495392,5539.047205990824,5630.946037047439,13840.032449931881,13952.883706491602,13840.032449931881
NC,2572,President-Republican,Republican,4,RICHMOND,0,0,2024-03-01T20:11:28Z,3001.127236214013,2641.478722705164,2643.6688198436764,894.4554722860889,625.0939133171448,691.6727356948627,2128.899854795171,1854.7208877677922,2128.899854795171
NC,2572,President-Republican,Republican,4,ROCKINGHAM,0,0,2024-03-01T20:11:28Z,8811.303126390954,8639.342224828511,8679.93624720924,2850.7840808489022,2480.332054002907,2479.048478292251,6698.875284243237,6239.957587362359,6698.875284243237
NC,2572,President-Republican,Republican,4,ROWAN,0,0,2024-03-01T20:11:28Z,16376.70074633702,16376.700746337021,16376.700746337021,4505.093860484537,4379.998065941062,4406.936135830135,11743.26678571089,11504.662432556324,11743.26678571089
